livsmk;kalkk;kalkinnhold
1;a;a Svært kalkfattig
1;b;b Temmelig kalkfattig
1;c;c Litt kalkfattig
1;d;d Svak intermediær
1;e;e Sterk intermediær
1;f;f Litt kalkrik
1;g;g Temmelig kalkrik
1;h;h Svært kalkrik
1;i;i Ekstremt kalkrik
2;a;a Svært kalkfattig
2;b;b Temmelig kalkfattig
2;c;c Litt kalkfattig
2;d;d Svak intermediær
2;e;e Sterk intermediær
2;f;f Litt kalkrik
2;g;g Temmelig kalkrik
2;h;h Svært kalkrik
2;i;i Ekstremt kalkrik
3;a;a Svært kalkfattig
3;b;b Temmelig kalkfattig
3;c;c Litt kalkfattig
3;d;d Svak intermediær
3;e;e Sterk intermediær
3;f;f Litt kalkrik
3;g;g Temmelig kalkrik
3;h;h Svært kalkrik
3;i;i Ekstremt kalkrik
4;a;a Svært kalkfattig
4;b;b Temmelig kalkfattig
4;c;c Litt kalkfattig
4;d;d Svak intermediær
4;e;e Sterk intermediær
4;f;f Litt kalkrik
4;g;g Temmelig kalkrik
4;h;h Svært kalkrik
4;i;i Ekstremt kalkrik
5;a;a Svært kalkfattig
5;b;b Temmelig kalkfattig
5;c;c Litt kalkfattig
5;d;d Svak intermediær
5;e;e Sterk intermediær
5;f;f Litt kalkrik
5;g;g Temmelig kalkrik
5;h;h Svært kalkrik
5;i;i Ekstremt kalkrik
6;a;a Svært kalkfattig
6;b;b Temmelig kalkfattig
6;c;c Litt kalkfattig
6;d;d Svak intermediær
6;e;e Sterk intermediær
6;f;f Litt kalkrik
6;g;g Temmelig kalkrik
6;h;h Svært kalkrik
6;i;i Ekstremt kalkrik
9;f;f Litt kalkrik
9;g;g Temmelig kalkrik
9;h;h Svært kalkrik
9;i;i Ekstremt kalkrik
