livsmk;bark;bartreslag
1;1;01 Gran
1;2;02 Sitkagran
1;3;03 Edelgran
1;10;10 Furu
1;11;11 Contortafuru
1;20;20 Lerk
1;21;21 Barlind
1;22;22 Einer
1;29;29 Annet bar
1;61;61 Ukjent bar
2;1;01 Gran
2;2;02 Sitkagran
2;3;03 Edelgran
2;10;10 Furu
2;11;11 Contortafuru
2;20;20 Lerk
2;21;21 Barlind
2;22;22 Einer
2;29;29 Annet bar
2;61;61 Ukjent bar
5;1;01 Gran
5;2;02 Sitkagran
5;3;03 Edelgran
5;10;10 Furu
5;11;11 Contortafuru
5;20;20 Lerk
5;21;21 Barlind
5;22;22 Einer
5;29;29 Annet bar
5;61;61 Ukjent bar
6;1;01 Gran
6;2;02 Sitkagran
6;3;03 Edelgran
6;10;10 Furu
6;11;11 Contortafuru
6;20;20 Lerk
6;21;21 Barlind
6;22;22 Einer
6;29;29 Annet bar
6;61;61 Ukjent bar
7;1;01 Gran
7;2;02 Sitkagran
7;3;03 Edelgran
7;10;10 Furu
7;11;11 Contortafuru
7;20;20 Lerk
7;21;21 Barlind
7;22;22 Einer
7;29;29 Annet bar
7;61;61 Ukjent bar
9;1;01 Gran
9;2;02 Sitkagran
9;3;03 Edelgran
9;10;10 Furu
9;11;11 Contortafuru
9;20;20 Lerk
9;21;21 Barlind
9;22;22 Einer
9;29;29 Annet bar
9;30;30 Dunbjerk
9;31;31 Hengebjerk
9;32;32 Osp
9;39;39 Bjerk (ikke artsbestemt bjørk)
9;40;40 Eik
9;41;41 Bøk
9;42;42 Ask
9;43;43 Alm
9;44;44 Lind
9;48;48 Spisslønn
9;49;49 Platanlønn
9;50;50 Gråor
9;51;51 Svartor
9;52;52 Selje
9;53;53 Rogn
9;54;54 Hegg
9;55;55 Hassel
9;56;56 Asal
9;57;57 Villeple
9;58;58 Søtkirsebær
9;70;70 Kristtorn
9;59;59 Annet lauv
9;61;61 Ukjent bar
9;62;62 Ukjent lauv
